xlsPBID,xlsMemberID,FR25,FR50,FR100,FR200,FR400,BR25,BR50,BR100,BR200,BR400,BA25,BA50,BA100,BA200,BA400,BU25,BU50,BU100,BU200,BU400,ME25,ME50,ME100,ME200,ME400
1,1,00:00:00,00:00:29.2200000,00:01:07.5700000,00:02:30.5300000,00:00:00,00:00:00,00:00:39.4700000,00:01:35.9100000,00:00:00,00:00:00,00:00:00,00:00:37.2000000,00:01:24.8300000,00:00:00,00:00:00,00:00:00,00:00:32.8400000,00:01:21.7600000,00:00:00,00:00:00,00:00:00,00:00:00,00:01:16.8400000,00:02:56.3100000,00:00:00
2,2,00:00:00,00:00:34.8000000,00:01:20.4000000,00:02:54.3900000,00:00:00,00:00:00,00:00:48.8100000,00:01:53.9900000,00:00:00,00:00:00,00:00:27.2100000,00:00:43.5700000,00:01:37.6900000,00:00:00,00:00:00,00:00:00,00:00:45.6800000,00:01:37.6500000,00:00:00,00:00:00,00:00:00,00:00:00,00:01:37.2800000,00:03:23.6300000,00:00:00
3,3,00:00:00,00:00:33.2400000,00:01:15.1500000,00:00:00,00:00:00,00:00:00,00:00:40.4500000,00:01:30.0300000,00:00:00,00:00:00,00:00:00,00:00:41.1700000,00:01:37.7900000,00:00:00,00:00:00,00:00:00,00:00:59.3100000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:01:30.4500000,00:00:00,00:00:00
4,4,00:00:00,00:00:28.9300000,00:01:08.9400000,00:02:34.1300000,00:00:00,00:00:00,00:00:37.7100000,00:01:31.5400000,00:00:00,00:00:00,00:00:00,00:00:35.4700000,00:01:22.2700000,00:00:00,00:00:00,00:00:00,00:00:33.4200000,00:01:43.5400000,00:00:00,00:00:00,00:00:00,00:00:00,00:01:17.2500000,00:02:50.8800000,00:00:00
5,6,00:00:22.7200000,00:00:41.1500000,00:00:00,00:00:00,00:00:00,00:00:26.6900000,00:00:59.0900000,00:00:00,00:00:00,00:00:00,00:00:23.4000000,00:00:47.5700000,00:00:00,00:00:00,00:00:00,00:00:22.4000000,00:00:54.9500000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
6,7,00:00:22.8100000,00:00:38.4700000,00:01:26.0700000,00:00:00,00:00:00,00:00:26.7800000,00:00:51.9200000,00:01:51.0700000,00:00:00,00:00:00,00:00:27.0600000,00:00:44.3200000,00:01:35.4200000,00:00:00,00:00:00,00:00:20.0300000,00:00:49.0600000,00:01:55.2500000,00:00:00,00:00:00,00:00:00,00:00:00,00:01:37.9100000,00:00:00,00:00:00
7,8,00:00:26.9600000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:35.9100000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:34.5700000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:35.1800000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
8,9,00:00:18.4700000,00:00:39.3300000,00:01:28.2100000,00:03:12.2100000,00:00:00,00:00:25.3400000,00:00:49.1900000,00:01:48.5700000,00:00:00,00:00:00,00:00:25.3900000,00:00:51.4500000,00:01:54.5400000,00:00:00,00:00:00,00:00:25.7200000,00:00:51.7900000,00:02:03.9100000,00:00:00,00:00:00,00:00:00,00:00:00,00:01:40.1800000,00:03:39.3600000,00:00:00
9,10,00:00:22.8700000,00:00:44.3000000,00:01:42.9500000,00:00:00,00:00:00,00:00:30.6900000,00:00:58.9000000,00:02:10.4500000,00:00:00,00:00:00,00:00:27.1500000,00:01:00.8200000,00:00:00,00:00:00,00:00:00,00:00:23.0600000,00:00:53.6800000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:01:54.0300000,00:00:00,00:00:00
10,11,00:00:21.0600000,00:00:00,00:01:25.6500000,00:00:00,00:00:00,00:00:25.1800000,00:00:56.1800000,00:00:00,00:00:00,00:00:00,00:00:26.9300000,00:00:48.7200000,00:00:00,00:00:00,00:00:00,00:00:19.7500000,00:00:49.1500000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
11,12,00:00:20.2500000,00:00:36.3000000,00:01:24.0900000,00:00:00,00:00:00,00:00:27.8100000,00:00:49,00:01:52.0700000,00:00:00,00:00:00,00:00:24.5400000,00:00:50.4200000,00:00:00,00:00:00,00:00:00,00:00:21.9900000,00:00:51.4600000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:01:38.6900000,00:00:00,00:00:00
12,13,00:00:21.5600000,00:00:41.4800000,00:00:00,00:00:00,00:00:00,00:00:28.5400000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:27.6500000,00:00:53.0300000,00:00:00,00:00:00,00:00:00,00:00:20.6900000,00:00:51.2100000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
13,14,00:00:22.8700000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:30.5600000,00:01:08.7800000,00:00:00,00:00:00,00:00:00,00:00:24.9600000,00:00:59.5700000,00:00:00,00:00:00,00:00:00,00:00:25.3900000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
14,15,00:00:30.3800000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:38.4900000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:45.5300000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
15,16,00:00:00,00:00:31.6300000,00:01:13,00:02:43.9300000,00:00:00,00:00:00,00:00:44.8100000,00:01:40.2900000,00:00:00,00:00:00,00:00:00,00:00:41.1200000,00:01:34.8600000,00:00:00,00:00:00,00:00:00,00:00:40.4300000,00:01:37.6600000,00:00:00,00:00:00,00:00:00,00:00:00,00:01:29.5400000,00:03:15.4700000,00:00:00
16,17,00:00:20.3400000,00:00:35.6700000,00:01:22.6600000,00:02:58.8100000,00:00:00,00:00:32,00:00:54.5900000,00:00:00,00:00:00,00:00:00,00:00:24.5600000,00:00:45.1600000,00:00:00,00:00:00,00:00:00,00:00:25.5900000,00:00:45.6300000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:01:43.5900000,00:00:00,00:00:00
17,18,00:00:21.2200000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:32.2800000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:31.1800000,00:01:25.7800000,00:00:00,00:00:00,00:00:00,00:00:38.1600000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
18,19,00:00:21.7500000,00:00:40.9100000,00:01:39.6900000,00:00:00,00:00:00,00:00:29.1000000,00:00:54.4400000,00:01:57.1600000,00:00:00,00:00:00,00:00:27.9100000,00:00:54.2500000,00:02:05.7500000,00:00:00,00:00:00,00:00:27.1600000,00:00:56.6200000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:01:48.6600000,00:00:00,00:00:00
19,20,00:00:21.8100000,00:00:44.2800000,00:00:00,00:00:00,00:00:00,00:00:27.4100000,00:00:53.6000000,00:00:00,00:00:00,00:00:00,00:00:24.9800000,00:00:57.2900000,00:00:00,00:00:00,00:00:00,00:00:27.6900000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
20,22,00:00:23.3600000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:29.3000000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:28.6900000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
21,23,00:00:22.3700000,00:00:30.4800000,00:01:12.6900000,00:00:00,00:00:00,00:00:30.6200000,00:00:43.8700000,00:01:43.8400000,00:00:00,00:00:00,00:00:28.1400000,00:00:42.2300000,00:00:00,00:00:00,00:00:00,00:00:27.4700000,00:00:36.3000000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:01:39.5600000,00:00:00,00:00:00
22,24,00:00:22.4500000,00:00:52.8800000,00:00:00,00:00:00,00:00:00,00:00:31,00:01:05.5400000,00:00:00,00:00:00,00:00:00,00:00:27.6600000,00:01:04,00:00:00,00:00:00,00:00:00,00:00:29.6300000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
23,25,00:00:00,00:00:34.2800000,00:01:23.3400000,00:00:00,00:00:00,00:00:00,00:00:45,00:01:43.7800000,00:00:00,00:00:00,00:00:25.3500000,00:00:45.6800000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:41.4100000,00:01:44.2000000,00:00:00,00:00:00,00:00:00,00:00:00,00:01:31.5300000,00:00:00,00:00:00
24,26,00:00:00,00:00:34.3900000,00:01:28.6900000,00:00:00,00:00:00,00:00:00,00:00:45.5600000,00:01:48.5300000,00:00:00,00:00:00,00:00:27.0700000,00:00:41.1200000,00:01:57.6300000,00:00:00,00:00:00,00:00:22.9700000,00:00:39.6600000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:01:28.5600000,00:00:00,00:00:00
25,27,00:00:00,00:00:30.8800000,00:01:10.6300000,00:02:34.1200000,00:00:00,00:00:00,00:00:45.1600000,00:01:40.5700000,00:00:00,00:00:00,00:00:00,00:00:35.5000000,00:01:29.2100000,00:00:00,00:00:00,00:00:00,00:00:35.3200000,00:01:25.6700000,00:00:00,00:00:00,00:00:00,00:00:00,00:01:34.7800000,00:03:07.7500000,00:00:00
26,28,00:00:20.8600000,00:00:42.5400000,00:00:00,00:00:00,00:00:00,00:00:29.7200000,00:00:59.8100000,00:00:00,00:00:00,00:00:00,00:00:27.8200000,00:00:59.9700000,00:00:00,00:00:00,00:00:00,00:00:23.8700000,00:00:58.7200000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:02:02.1000000,00:00:00,00:00:00
27,29,00:00:21.5900000,00:00:43,00:00:00,00:00:00,00:00:00,00:00:28.7100000,00:00:54.6000000,00:00:00,00:00:00,00:00:00,00:00:26.4400000,00:00:51.3000000,00:00:00,00:00:00,00:00:00,00:00:22.8100000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
28,30,00:00:38.8400000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:58.7800000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:41.9000000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:53.5900000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
29,31,00:00:17.7900000,00:00:36.0600000,00:00:00,00:00:00,00:00:00,00:00:22.6800000,00:00:49.1900000,00:00:00,00:00:00,00:00:00,00:00:21.3100000,00:00:52.4400000,00:00:00,00:00:00,00:00:00,00:00:20.9400000,00:00:47.6000000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
30,32,00:00:24,00:00:00,00:00:00,00:00:00,00:00:00,00:00:39.8800000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:30.3000000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:26.3800000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:02:35.1200000,00:00:00,00:00:00
31,33,00:00:19.4400000,00:00:42.5300000,00:00:00,00:00:00,00:00:00,00:00:26.9400000,00:00:59.7500000,00:00:00,00:00:00,00:00:00,00:00:25.9400000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:22.9100000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
32,34,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
33,35,00:00:24.4100000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:32.5000000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
34,36,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
35,37,00:00:26.7900000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:34.4000000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:38.4700000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:32.2400000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
36,38,00:00:21.8800000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:32.6000000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:27.5300000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:25.4700000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
37,39,00:00:23.8100000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:35.6500000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:28.9600000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:30.1900000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
38,40,00:00:22.2900000,00:00:44.4600000,00:00:00,00:00:00,00:00:00,00:00:30.3100000,00:00:56.0600000,00:02:08.9200000,00:00:00,00:00:00,00:00:28.5300000,00:00:53.9700000,00:02:04.6300000,00:00:00,00:00:00,00:00:25.1600000,00:01:01.6700000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
39,41,00:00:18.7200000,00:00:40.5000000,00:01:32,00:00:00,00:00:00,00:00:27.5600000,00:01:00.5300000,00:00:00,00:00:00,00:00:00,00:00:23,00:00:49.6300000,00:00:00,00:00:00,00:00:00,00:00:20.6900000,00:00:55.1700000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
40,42,00:00:22.2500000,00:00:51.9700000,00:00:00,00:00:00,00:00:00,00:00:32.3400000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:27.4100000,00:01:10.9000000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
41,43,00:00:00,00:00:38,00:00:00,00:00:00,00:00:00,00:00:00,00:01:01.1300000,00:00:00,00:00:00,00:00:00,00:00:26.4400000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:31.7200000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
42,44,00:00:00,00:00:35.2800000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:55,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
43,45,00:00:18.4400000,00:00:31.2200000,00:00:00,00:00:00,00:00:00,00:00:27.0700000,00:00:44.9400000,00:01:49.7800000,00:00:00,00:00:00,00:00:22.7200000,00:00:43.3700000,00:00:00,00:00:00,00:00:00,00:00:23.6800000,00:00:45.6200000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
44,47,00:00:24.4300000,00:01:05.7500000,00:00:00,00:00:00,00:00:00,00:00:36.6200000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:30.6100000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
45,48,00:00:20.2200000,00:00:38.4800000,00:01:35.9400000,00:00:00,00:00:00,00:00:26.2800000,00:00:45.0300000,00:01:48.5200000,00:00:00,00:00:00,00:00:27.4400000,00:00:43.2800000,00:00:00,00:00:00,00:00:00,00:00:25.2200000,00:00:51.1000000,00:01:49.9100000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
